query,rank,score,doc_id,source,question_id,title,tags,link,snippet,stack_score,answer_count,view_count
Why are micro average precision recall and F1 equal in multiclass classification?,1,48.493982,datascience:15989,datascience,15989,Micro Average vs Macro average Performance in a Multiclass classification setting,"multiclass-classification, model-evaluations",https://datascience.stackexchange.com/questions/15989/micro-average-vs-macro-average-performance-in-a-multiclass-classification-settin,Micro Average vs Macro average Performance in a Multiclass classification setting Micro Average vs Macro average Performance in a Multiclass classification setting I am trying out...,295,8,394864
Why are micro average precision recall and F1 equal in multiclass classification?,2,30.747687,datascience:36817,datascience,36817,Why is the F-measure preferred for classification tasks?,"machine-learning, model-evaluations, scoring, metric, nlg",https://datascience.stackexchange.com/questions/36817/why-is-the-f-measure-preferred-for-classification-tasks,Why is the F-measure preferred for classification tasks? Why is the F-measure preferred for classification tasks? Why is the F-measure usually used for (supervised) classification...,13,3,2453
Why are micro average precision recall and F1 equal in multiclass classification?,3,24.953232,datascience:40900,datascience,40900,What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem?,"classification, scikit-learn, metric",https://datascience.stackexchange.com/questions/40900/whats-the-difference-between-sklearn-f1-score-micro-and-weighted-for-a-mult,What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem? What's the difference between Sklearn F1 score 'micro' and 'weighted...,23,1,26045
Why are micro average precision recall and F1 equal in multiclass classification?,4,24.292095,datascience:25119,datascience,25119,How to calculate mAP for detection task for the PASCAL VOC Challenge?,"machine-learning, neural-network, svm, computer-vision, object-recognition",https://datascience.stackexchange.com/questions/25119/how-to-calculate-map-for-detection-task-for-the-pascal-voc-challenge,...ulate mAP for detection task for the PASCAL VOC Challenge? How to calculate the mAP (mean Average Precision) for the detection task for the Pascal VOC leaderboards? There said - at...,41,2,53111
Why are micro average precision recall and F1 equal in multiclass classification?,5,22.189749,datascience:45165,datascience,45165,"How to get accuracy, F1, precision and recall, for a keras model?","machine-learning, neural-network, deep-learning, classification, keras",https://datascience.stackexchange.com/questions/45165/how-to-get-accuracy-f1-precision-and-recall-for-a-keras-model,"How to get accuracy, F1, precision and recall, for a keras model? How to get accuracy, F1, precision and recall, for a keras model? I want to compute the precision, recall and F1-s...",66,5,207577
Why are micro average precision recall and F1 equal in multiclass classification?,6,19.732273,datascience:64441,datascience,64441,How to interpret classification report of scikit-learn?,"classification, metric, binary",https://datascience.stackexchange.com/questions/64441/how-to-interpret-classification-report-of-scikit-learn,"How to interpret classification report of scikit-learn? How to interpret classification report of scikit-learn? As you can see, it is about a binary classification with linearSVC....",30,2,69390
Why are micro average precision recall and F1 equal in multiclass classification?,7,19.56467,datascience:65839,datascience,65839,macro average and weighted average meaning in classification_report,"classification, accuracy, class-imbalance",https://datascience.stackexchange.com/questions/65839/macro-average-and-weighted-average-meaning-in-classification-report,"macro average and weighted average meaning in classification_report macro average and weighted average meaning in classification_report I use the "" classification_report "" from fro...",31,4,67771
Why are micro average precision recall and F1 equal in multiclass classification?,8,18.118757,datascience:30881,datascience,30881,When is precision more important over recall?,"machine-learning, model-evaluations",https://datascience.stackexchange.com/questions/30881/when-is-precision-more-important-over-recall,When is precision more important over recall? When is precision more important over recall? Can anyone give me some examples where precision is important and some examples where re...,46,10,101117
Why are micro average precision recall and F1 equal in multiclass classification?,9,15.495841,datascience:16342,datascience,16342,Unbalanced multiclass data with XGBoost,"classification, xgboost, multiclass-classification, class-imbalance",https://datascience.stackexchange.com/questions/16342/unbalanced-multiclass-data-with-xgboost,Unbalanced multiclass data with XGBoost Unbalanced multiclass data with XGBoost I have 3 classes with this distribution: Class 0: 0.1169 Class 1: 0.7668 Class 2: 0.1163 And I am us...,42,6,56250
Why are micro average precision recall and F1 equal in multiclass classification?,10,14.826174,datascience:16232,datascience,16232,In XGBoost would we evaluate results with a Precision Recall curve vs ROC?,xgboost,https://datascience.stackexchange.com/questions/16232/in-xgboost-would-we-evaluate-results-with-a-precision-recall-curve-vs-roc,In XGBoost would we evaluate results with a Precision Recall curve vs ROC? In XGBoost would we evaluate results with a Precision Recall curve vs ROC? I am using XGBoost for payment...,18,2,29583
