query,rank,score,doc_id,source,question_id,title,tags,link,snippet,stack_score,answer_count,view_count
Why are micro average precision recall and F1 equal in multiclass classification?,1,0.739459,datascience:15989,datascience,15989,Micro Average vs Macro average Performance in a Multiclass classification setting,"multiclass-classification, model-evaluations",https://datascience.stackexchange.com/questions/15989/micro-average-vs-macro-average-performance-in-a-multiclass-classification-settin,Title: Micro Average vs Macro average Performance in a Multiclass classification setting Body: I am trying out a multiclass classification setting with 3 classes. The class distrib...,295,8,394864
Why are micro average precision recall and F1 equal in multiclass classification?,2,0.628729,datascience:36817,datascience,36817,Why is the F-measure preferred for classification tasks?,"machine-learning, model-evaluations, scoring, metric, nlg",https://datascience.stackexchange.com/questions/36817/why-is-the-f-measure-preferred-for-classification-tasks,"Title: Why is the F-measure preferred for classification tasks? Body: Why is the F-measure usually used for (supervised) classification tasks, whereas the G-measure (or Fowlkes–Mal...",13,3,2453
Why are micro average precision recall and F1 equal in multiclass classification?,3,0.609956,datascience:40900,datascience,40900,What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem?,"classification, scikit-learn, metric",https://datascience.stackexchange.com/questions/40900/whats-the-difference-between-sklearn-f1-score-micro-and-weighted-for-a-mult,Title: What's the difference between Sklearn F1 score 'micro' and 'weighted' for a multi class classification problem? Body: I have a multi-class classification problem with class...,23,1,26045
Why are micro average precision recall and F1 equal in multiclass classification?,4,0.541326,datascience:36862,datascience,36862,Macro- or micro-average for imbalanced class problems,"machine-learning, model-evaluations, class-imbalance",https://datascience.stackexchange.com/questions/36862/macro-or-micro-average-for-imbalanced-class-problems,Title: Macro- or micro-average for imbalanced class problems Body: The question of whether to use macro- or micro-averages when the data is imbalanced comes up all the time. Some g...,20,4,26847
Why are micro average precision recall and F1 equal in multiclass classification?,5,0.523021,datascience:65839,datascience,65839,macro average and weighted average meaning in classification_report,"classification, accuracy, class-imbalance",https://datascience.stackexchange.com/questions/65839/macro-average-and-weighted-average-meaning-in-classification-report,"Title: macro average and weighted average meaning in classification_report Body: I use the "" classification_report "" from from sklearn.metrics import classification_report in order...",31,4,67771
Why are micro average precision recall and F1 equal in multiclass classification?,6,0.510181,datascience:30881,datascience,30881,When is precision more important over recall?,"machine-learning, model-evaluations",https://datascience.stackexchange.com/questions/30881/when-is-precision-more-important-over-recall,Title: When is precision more important over recall? Body: Can anyone give me some examples where precision is important and some examples where recall is important? Tags: machine-...,46,10,101117
Why are micro average precision recall and F1 equal in multiclass classification?,7,0.504965,datascience:12253,datascience,12253,Performance measure: Why is it called recall and sensitivity?,"performance, terminology",https://datascience.stackexchange.com/questions/12253/performance-measure-why-is-it-called-recall-and-sensitivity,"Title: Performance measure: Why is it called recall and sensitivity? Body: precision is the fraction of retrieved instances that are relevant, while recall (also known as sensitivi...",17,4,3405
Why are micro average precision recall and F1 equal in multiclass classification?,8,0.498165,datascience:73974,datascience,73974,Balanced Accuracy vs. F1 Score,"classification, accuracy, metric, f1score",https://datascience.stackexchange.com/questions/73974/balanced-accuracy-vs-f1-score,Title: Balanced Accuracy vs. F1 Score Body: I've read plenty of online posts with clear explanations about the difference between accuracy and F1 score in a binary classification c...,15,1,10969
Why are micro average precision recall and F1 equal in multiclass classification?,9,0.478417,datascience:16797,datascience,16797,What does the notation mAP@[.5:.95] mean?,computer-vision,https://datascience.stackexchange.com/questions/16797/what-does-the-notation-map-5-95-mean,"...ositive ($FP(c)$): a proposal was made for class $c$, but there is no object of class $c$ Average Precision for class $c$: $\frac{\#TP(c)}{\#TP(c) + \#FP(c)}$ The mAP (mean average...",52,3,90469
Why are micro average precision recall and F1 equal in multiclass classification?,10,0.453466,datascience:64441,datascience,64441,How to interpret classification report of scikit-learn?,"classification, metric, binary",https://datascience.stackexchange.com/questions/64441/how-to-interpret-classification-report-of-scikit-learn,"Title: How to interpret classification report of scikit-learn? Body: As you can see, it is about a binary classification with linearSVC. The class 1 has a higher precision than cla...",30,2,69390
